ID,Orden_Doc,Detalle_Compra,Insumo_Descripcion,Unidad_Original,Cantidad_Original,Precio_Original,Total_Original,Unidad_Normalizado,Cantidad_Normalizado,Precio_Normalizado
745,,TUBERIA METALICA FLEXIBLE 20MM ENERLAINHG SAP PESADO E/T 2023/CONSEJO,Tuberia conduit EMT de 20 mm,UND,200.0000,8.5000,1700.0000,UND,200.0000,8.5000
769,1445.0,"TUBO : MATERIAL: PVC-U TIPO: ELECTRICO DIAMT NOMINAL: 2"" ESPESOR: 2.8 MM LONGITUD: 3 M RIGIDEZ NOMINAL: CLASE PESADA EMPALME: SIMPLE PRESION (UNION RIGIDA) COLOR: GRIS UND. G.F.: 600 MESES INYECTOPLAST 90901002",Tuberia PVC SAP de 50mm NTP-399.006,UND.,25.0000,34.6332,865.8300,UND.,25.0000,34.6332
770,1445.0,"TUBO : MATERIAL: PVC-U TIPO: ELECTRICO DIAMT NOMINAL: 2 1/2"" ESPESOR: 3.5 MM LONGITUD: 3 M RIGIDEZ NOMINAL: CLASE PESADA EMPALME: SIMPLE PRESION (UNION RIGIDA) COLOR: GRIS UND. G.F.: 600 MESES INYECTOPLAST 90901021",Tuberia PVC SAP de 65 mm NTP-399.006,UND.,250.0000,22.7504,5687.6000,UND.,250.0000,22.7504
777,,TUBERIA PVC SAP NTP 399.006 DE 20 MM PAVCO E/T 2024/SUNCHUBAMBA,TUBERIA. PVC SAP NTP-399.006  DE 20mm,UND,280.0000,17.5000,4900.0000,UND,280.0000,17.5000
778,,TUBERIA PVC SAP ELÉCTRICA DE 22 DE DIAMETRO X 3 M-TUBOPLAST /SAP,TUBERIA. PVC SAP NTP-399.006  DE 20mm,UND.,6.0000,36.0000,216.0000,UND.,6.0000,36.0000
779,1445.0,"TUBO : MATERIAL: PVC-U TIPO: ELECTRICO DIAMT NOMINAL: 3/4"" ESPESOR: 1.8 MM LONGITUD: 3 M RIGIDEZ NOMINAL: CLASE PESADA EMPALME: SIMPLE PRESION (UNION RIGIDA) COLOR: GRIS UND. G.F.: 600 MESES INYECTOPLAST 90340034",TUBERIA. PVC SAP NTP-399.006  DE 20mm,UND.,35.0000,11.8116,413.4060,UND.,35.0000,11.8116
781,1445.0,"TUBO : MATERIAL: PVC-U TIPO: ELECTRICO DIAMT NOMINAL: 1 1/4"" ESPESOR: 2 MM LONGITUD: 3 M RIGIDEZ NOMINAL: CLASE PESADA EMPALME: SIMPLE PRESION (UNION RIGIDA) COLOR: GRIS UND. G.F.: 600 MESES INYECTOPLAST 90901014",TUBERIA. PVC SAP NTP-399.006  DE 35mm,UND.,985.0000,6.6670,6566.9950,UND.,985.0000,6.6670
801,1715.0,ESTACION DE TRABAJO INTEL CORE I9-14900K RAM: 32 GB 2 TB,UNIDAD CENTRAL DE PROCESO - CPU,UND.,1.0000,18372.4500,18372.4500,UND.,1.0000,18372.4500
805,,UNION CONDUIT EMT DE 25 MM-NAVIA,UNION CONDUIT EMT 25mm,UND.,55.0000,3.6000,198.0000,UND.,55.0000,3.6000
828,,"UNION UNIVERSAL DE F°G° 3/4""C/R-NACIONAL","UNION UNIVERSAL F°G° C/R, 3/4""",UND.,57.0000,13.4400,766.0800,UND.,57.0000,13.4400
841,,VALVULA CONPUERTA DE BRONCE DE 1 PULG.NAC. E/T 2023/CONSEJO,"VÁLVULA FLOTADORA DE BRONCE Ø 1""",UND,20.0000,0.0000,0.0000,UND,20.0000,0.0000
842,,VALVULA ESFERICA DE BRONCE PESADA DE 1 1/2 CIM E/T 2024/SUNCHUBAMBA,"VALVULA TIPO BOLA DE BRONCE 1 1/2""",UND,1.0000,0.0000,0.0000,UND,1.0000,0.0000
981,,LIJAR #100 PARA PARED ABRALIT GROMA CPPQ CORPORACIÓN PERUANA DE PRODUCTOS QUIMICOS S.A. LIMA PERU,HERRAMIENTAS MANUALES,UND.,4.0000,1.5000,6.0000,UND.,4.0000,1.5000
982,,LIJAR #80 PARA PARED ABRALIT GROMA CPPQ CORPORACIÓN PERUANA DE PRODUCTOS QUIMICOS S.A. AREQUIPA PERU,HERRAMIENTAS MANUALES,UND.,1.0000,1.5000,1.5000,UND.,1.0000,1.5000
1001,,NORTON LIJAR A275 GR 220 PAQUETE (50),HERRAMIENTAS MANUALES,PQT.,1.0000,79.0000,79.0000,PQT.,1.0000,79.0000
1011,,PRENSA DE EXPANSIÓN DE ACERO 3/8 IN X 1 1/2 IN -NACIONAL,HERRAMIENTAS MANUALES,UND.,115.0000,3.0600,351.9000,UND.,115.0000,3.0600
